scale,q,candidate,factor_signature,third_factor,third_remainder,fourth_factor,fourth_remainder,fourth_remainder_tau,fourth_remainder_family,fourth_remainder_signature,fourth_strip_terminal,fourth_strip_accounted
1000000000000000000,999999999999996791,999999999999996793,7^2*59*281*1061*3571*324893,59,345901072293323,281,1230964670083,8,multi_prime_family,1061*3571*324893,fifth_layer_multi_prime,False
1000000000000000000,999999999999989441,999999999999989443,7^3*13^2*6701*2574420929,7,2915451895043701,13,224265530387977,8,multi_prime_family,13*6701*2574420929,fifth_layer_multi_prime,False
1000000000000000000,999999999999984449,999999999999984451,13*29*79*389*1663*4007*12953,79,33576201188597,389,86314141873,8,multi_prime_family,1663*4007*12953,fifth_layer_multi_prime,False
1000000000000000000,999999999999981719,999999999999981721,13*19*37*43*683*1601*2327131,37,109421162052739,43,2544678187273,8,multi_prime_family,683*1601*2327131,fifth_layer_multi_prime,False
1000000000000000000,999999999999958571,999999999999958573,7^4*11^2*17*21617*9366517,7,2915451895043611,7,416493127863373,24,multi_prime_family,11^2*17*21617*9366517,fifth_layer_multi_prime,False
1000000000000000000,999999999999925949,999999999999925951,13*67*73*127*443*1087*257171,73,15727474324897,127,123838380511,8,multi_prime_family,443*1087*257171,fifth_layer_multi_prime,False
1000000000000000000,999999999999921467,999999999999921469,23*31*41*179*3301*4679*12373,41,34207915711693,179,191105674367,8,multi_prime_family,3301*4679*12373,fifth_layer_multi_prime,False
1000000000000000000,999999999999916067,999999999999916069,7*11*29*71*283*9391*2373311,29,447828034034893,71,6307437099083,8,multi_prime_family,283*9391*2373311,fifth_layer_multi_prime,False
1000000000000000000,999999999999905357,999999999999905359,7^2*13*179*977*8053*1114693,13,1569858712715707,179,8770160406233,8,multi_prime_family,977*8053*1114693,fifth_layer_multi_prime,False
1000000000000000000,999999999999901577,999999999999901579,7*19*37*47*1447*25469*117319,37,203210729526499,47,4323632543117,8,multi_prime_family,1447*25469*117319,fifth_layer_multi_prime,False
1000000000000000000,999999999999898697,999999999999898699,17*23*61*173*181*7907*169339,61,41926963230049,173,242352388613,8,multi_prime_family,181*7907*169339,fifth_layer_multi_prime,False
